x1,x1_mean,condition,binchoice,bincorrect,x2,x2_mean,xavg,estim,binrt,subj,x1_relative,x2_relative
47.375,3,-1,1,0,40.375,4,43.875,NaN,0.600754314335063,1,-2.625,-9.625
52.125,2,-1,1,1,53,2,52.5625,NaN,0.574334346805699,1,2.125,3
44.5,3,-1,1,0,58.5,1,51.5,NaN,0.566511619021185,1,-5.5,8.5
52.125,2,-1,-1,0,57.5,1,54.8125,NaN,1.21289212314878,1,2.125,7.5
54.625,2,-1,-1,0,47.375,3,51,NaN,0.69710652786307,1,4.625,-2.625
48.625,3,-1,-1,1,44.75,3,46.6875,NaN,0.579668802325614,1,-1.375,-5.25
48.25,3,-1,1,0,45.5,3,46.875,NaN,0.442123174900189,1,-1.75,-4.5
47.25,3,-1,1,0,48.75,3,48,NaN,0.830374013166875,1,-2.75,-1.25
47,3,-1,1,0,54.625,2,50.8125,NaN,0.586821413598955,1,-3,4.625
48.5,3,-1,1,0,58.125,1,53.3125,NaN,0.45792867068667,1,-1.5,8.125
45.625,3,-1,1,0,53.5,2,49.5625,NaN,0.585572702810168,1,-4.375,3.5
50.625,2,-1,-1,0,48.5,3,49.5625,NaN,0.504806298646145,1,0.625,-1.5
54.25,2,-1,1,1,44.5,3,49.375,NaN,0.562007741187699,1,4.25,-5.5
54.25,2,-1,1,1,45,3,49.625,NaN,0.588836811250076,1,4.25,-5
46.875,3,-1,-1,1,51.75,2,49.3125,NaN,0.955232643755153,1,-3.125,1.75
48.25,3,-1,1,0,37.75,4,43,NaN,0.563382894732058,1,-1.75,-12.25
54.625,2,-1,1,1,42.375,4,48.5,NaN,0.547324180603027,1,4.625,-7.625
48.5,3,-1,1,0,44.5,3,46.5,NaN,0.643917309469543,1,-1.5,-5.5
47,3,-1,1,0,62,1,54.5,NaN,0.456441003247164,1,-3,12
48.625,3,-1,-1,1,62.375,1,55.5,NaN,0.388322752784006,1,-1.375,12.375
52.25,2,-1,1,1,42.75,4,47.5,NaN,0.45005226728972,1,2.25,-7.25
54.125,2,-1,-1,0,62.75,1,58.4375,NaN,0.637314054882154,1,4.125,12.75
52.625,2,-1,1,1,60,1,56.3125,NaN,0.47441597096622,1,2.625,10
50.875,2,-1,1,1,45.375,3,48.125,NaN,0.566443076124415,1,0.875,-4.625
45.5,3,-1,1,0,51.875,2,48.6875,NaN,0.565904768533073,1,-4.5,1.875
47.625,3,-1,1,0,57.625,1,52.625,NaN,0.501128213130869,1,-2.375,7.625
45,3,-1,-1,1,47.375,3,46.1875,NaN,0.392253178404644,1,-5,-2.625
